NWCG REPORTING AGENCY,NWCG REPORTING UNIT NAME,FIRE NAME,FIRE YEAR,STAT CAUSE DESCR,FIRE SIZE,FIRE SIZE CLASS,LATITUDE,LONGITUDE,STATE
NPS,Grand Canyon National Park,KORLE,1992,Campfire,0.1,A,36.04819,-112.12084,AZ
NPS,Grand Canyon National Park,REID,1992,Campfire,0.1,A,36.05931,-112.21111,AZ
NPS,Grand Canyon National Park,HALE,1992,Campfire,0.1,A,36.04819,-112.11666,AZ
NPS,Grand Canyon National Park,HOTSPINGS,1992,Equipment Use,0.1,A,36.00652,-112.14583,AZ
NPS,Grand Canyon National Park,SCHOOL,1992,Smoking,0.1,A,36.04819,-112.13334,AZ
NPS,Grand Canyon National Park,HOPI,1992,Campfire,0.1,A,36.07319,-112.175,AZ
NPS,Grand Canyon National Park,HADES,1992,Lightning,0.4,B,36.26068,-112.08334,AZ
NPS,Grand Canyon National Park,PICNIC,1992,Campfire,0.1,A,36.03292,-112.075,AZ
NPS,Grand Canyon National Park,315,1992,Campfire,0.1,A,36.04819,-112.12084,AZ
NPS,Grand Canyon National Park,MATHER,1992,Campfire,0.1,A,36.04819,-112.12084,AZ
NPS,Grand Canyon National Park,GROUP,1992,Campfire,0.1,A,36.04819,-112.11666,AZ
NPS,Grand Canyon National Park,168,1992,Campfire,0.1,A,36.04819,-112.11805,AZ
NPS,Grand Canyon National Park,RUSS,1992,Campfire,0.1,A,36.06485,-112.2,AZ
NPS,Grand Canyon National Park,SPRING,1992,Lightning,0.1,A,36.28152,-112.21667,AZ
NPS,Grand Canyon National Park,MAY,1992,Lightning,0.1,A,36.28152,-112.21667,AZ
NPS,Grand Canyon National Park,FRIDAY,1992,Campfire,0.1,A,36.19819,-112.06667,AZ
NPS,Grand Canyon National Park,HERMIT,1992,Campfire,0.1,A,36.08152,-112.2,AZ
NPS,Grand Canyon National Park,JUNE,1992,Lightning,0.4,B,36.4,-112.1341,AZ
NPS,Grand Canyon National Park,ASPEN 19,1992,Campfire,0.1,A,36.01486,-112.15001,AZ
NPS,Grand Canyon National Park,MORAN,1992,Lightning,0.5,B,36.01486,-111.93334,AZ
NPS,Grand Canyon National Park,RANGE,1992,Campfire,0.4,B,36.03153,-112.08333,AZ
NPS,Grand Canyon National Park,CENTURY,1992,Lightning,0.1,A,36.04819,-112.18334,AZ
NPS,Grand Canyon National Park,TRASH CAN,1992,Debris Burning,0.1,A,36.06486,-112.11667,AZ
NPS,Grand Canyon National Park,SUDDATH,1992,Campfire,0.1,A,36.06532,-112.11829,AZ
NPS,Grand Canyon National Park,DEAD,1992,Campfire,0.1,A,36.09819,-112.16667,AZ
NPS,Grand Canyon National Park,DEAD 2,1992,Campfire,0.1,A,36.09819,-112.16667,AZ
NPS,Grand Canyon National Park,OLSON,1992,Campfire,0.1,A,36.06486,-112.16667,AZ
NPS,Grand Canyon National Park,LAME,1992,Campfire,0.1,A,36.04819,-112.13334,AZ
NPS,Grand Canyon National Park,ASPEN 9,1992,Campfire,0.1,A,36.03153,-112.1,AZ
NPS,Grand Canyon National Park,LOST,1992,Lightning,0.1,A,36.03153,-112.25001,AZ
NPS,Grand Canyon National Park,TWO,1992,Campfire,0.8,B,36.3333,-112.3674,AZ
NPS,Grand Canyon National Park,BEACH,1992,Campfire,0.1,A,36.08153,-112.08334,AZ
NPS,Grand Canyon National Park,R&R,1992,Campfire,0.1,A,36.03153,-112.08333,AZ
NPS,Grand Canyon National Park,OUTLET,1992,Lightning,0.5,B,36.23152,-112.1,AZ
NPS,Grand Canyon National Park,SNAG,1992,Lightning,1.8,B,36.28152,-112.2,AZ
NPS,Grand Canyon National Park,HAPPY,1992,Campfire,0.1,A,36.08153,-112.08334,AZ
NPS,Grand Canyon National Park,RIVER,1992,Campfire,0.1,A,36.08153,-112.08334,AZ
NPS,Grand Canyon National Park,TUWEEP,1992,Lightning,0.1,A,36.24819,-113.01667,AZ
NPS,Grand Canyon National Park,HUTTON,1992,Campfire,0.1,A,36.08153,-112.08334,AZ
NPS,Grand Canyon National Park,CULVERT,1992,Children,0.1,A,36.06486,-112.16667,AZ
NPS,Grand Canyon National Park,DAILY,1992,Campfire,0.1,A,36.04819,-111.81666,AZ
NPS,Grand Canyon National Park,YAGER,1992,Campfire,0.1,A,36.08153,-112.1,AZ
NPS,Grand Canyon National Park,HEARST,1992,Lightning,0.1,A,35.96486,-112.0,AZ
NPS,Grand Canyon National Park,WOODRUFF,1992,Campfire,0.1,A,36.04819,-112.11666,AZ
NPS,Grand Canyon National Park,FIR,1992,Campfire,0.1,A,36.03153,-112.15,AZ
NPS,Grand Canyon National Park,WEST,1992,Campfire,0.1,A,36.06486,-112.15,AZ
NPS,Grand Canyon National Park,RIM,1992,Campfire,0.1,A,36.06486,-112.15,AZ
NPS,Grand Canyon National Park,SADDLE,1992,Lightning,0.1,A,36.33152,-112.33334,AZ
NPS,Grand Canyon National Park,FIRE POINT,1992,Lightning,0.1,A,36.33152,-112.33334,AZ
NPS,Grand Canyon National Park,IKES,1992,Lightning,0.1,A,36.33152,-112.25,AZ
NPS,Grand Canyon National Park,DRAGON,1992,Lightning,0.1,A,36.26485,-112.15,AZ
NPS,Grand Canyon National Park,CASTLE,1992,Lightning,0.1,A,36.33152,-112.31667,AZ
NPS,Grand Canyon National Park,SWAMP,1992,Lightning,0.2,A,36.33152,-112.31667,AZ
NPS,Grand Canyon National Park,BIG,1992,Lightning,0.1,A,36.34819,-112.25,AZ
NPS,Grand Canyon National Park,PIASTUCK,1992,Campfire,0.1,A,35.9982,-112.11667,AZ
NPS,Grand Canyon National Park,SHINUMO,1992,Lightning,0.1,A,36.33152,-112.26667,AZ
NPS,Grand Canyon National Park,LANCELOT,1992,Lightning,0.3,B,36.29818,-112.25,AZ
NPS,Grand Canyon National Park,TIYO,1992,Lightning,0.1,A,36.08108,-112.13189,AZ
NPS,Grand Canyon National Park,HEARTY,1992,Campfire,0.1,A,36.06486,-112.1,AZ
NPS,Grand Canyon National Park,MARCUS,1992,Campfire,0.1,A,36.06486,-112.1,AZ
NPS,Grand Canyon National Park,GRAMA,1992,Lightning,0.2,A,36.19819,-112.23333,AZ
NPS,Grand Canyon National Park,GRAMPA,1992,Lightning,0.3,B,35.96486,-112.03334,AZ
NPS,Grand Canyon National Park,PAINT CAN,1992,Lightning,0.2,A,36.29818,-112.25,AZ
NPS,Grand Canyon National Park,E-3,1992,Campfire,0.1,A,36.04819,-112.13334,AZ
NPS,Grand Canyon National Park,P,1992,Campfire,0.1,A,36.04819,-112.11666,AZ
NPS,Grand Canyon National Park,BRO,1992,Miscellaneous,0.1,A,36.04819,-112.11666,AZ
NPS,Grand Canyon National Park,LIL SIS,1992,Miscellaneous,0.1,A,36.04819,-112.11666,AZ
NPS,Grand Canyon National Park,CRYSTAL,1992,Lightning,0.1,A,36.26485,-112.16666,AZ
NPS,Grand Canyon National Park,CROWLEY,1992,Lightning,0.1,A,36.36485,-112.51667,AZ
NPS,Grand Canyon National Park,JUNIPER135,1992,Campfire,0.1,A,36.03153,-112.1,AZ
NPS,Grand Canyon National Park,OUT,1992,Campfire,0.1,A,36.03153,-112.1,AZ
NPS,Grand Canyon National Park,PAT 124,1992,Campfire,0.1,A,36.03154,-112.099,AZ
NPS,Grand Canyon National Park,HALE 95,1992,Campfire,0.1,A,36.03153,-112.1,AZ
NPS,Grand Canyon National Park,STOMP 2,1992,Miscellaneous,0.1,A,36.19819,-112.06667,AZ
NPS,Grand Canyon National Park,HALE 3,1992,Campfire,0.1,A,36.03153,-112.1,AZ
NPS,Grand Canyon National Park,HALE 21,1992,Campfire,0.1,A,36.03153,-112.1,AZ
NPS,Grand Canyon National Park,OAK 79,1992,Campfire,0.1,A,36.04819,-112.11666,AZ
NPS,Grand Canyon National Park,GIBSON,1992,Campfire,0.1,A,36.04819,-112.18334,AZ
NPS,Grand Canyon National Park,FELDMAN,1992,Campfire,0.1,A,36.09819,-112.1,AZ
NPS,Grand Canyon National Park,MYSTERY,1992,Campfire,0.1,A,36.03153,-112.11667,AZ
NPS,Grand Canyon National Park,LINDSTROM,1993,Campfire,0.1,A,36.05236,-112.11667,AZ
NPS,Grand Canyon National Park,SAND DUNES,1993,Campfire,0.1,A,36.10235,-112.09583,AZ
NPS,Grand Canyon National Park,MILLER,1993,Campfire,0.1,A,36.03152,-112.125,AZ
NPS,Grand Canyon National Park,YAVAPAI,1993,Campfire,0.1,A,36.06486,-112.12501,AZ
NPS,Grand Canyon National Park,LUPLOW,1993,Campfire,0.1,A,36.03569,-111.83333,AZ
NPS,Grand Canyon National Park,ANIMAL,1993,Campfire,0.1,A,36.03153,-112.15,AZ
NPS,Grand Canyon National Park,BICYCLE,1993,Campfire,0.1,A,36.03986,-112.18611,AZ
NPS,Grand Canyon National Park,AFTERNOON,1993,Campfire,0.1,A,36.04125,-112.1875,AZ
NPS,Grand Canyon National Park,HERMIT,1993,Lightning,0.1,A,36.04819,-112.21667,AZ
NPS,Grand Canyon National Park,TRACK,1993,Lightning,0.1,A,36.01486,-112.15001,AZ
NPS,Grand Canyon National Park,PIPO,1993,Lightning,0.2,A,35.9667,-112.5341,AZ
NPS,Grand Canyon National Park,SYPHER,1993,Campfire,0.1,A,36.03153,-112.1,AZ
NPS,Grand Canyon National Park,SAGE4,1993,Campfire,0.1,A,36.03153,-112.1,AZ
NPS,Grand Canyon National Park,MAYES,1993,Campfire,0.1,A,36.49818,-111.86666,AZ
NPS,Grand Canyon National Park,TENMILE,1993,Campfire,0.1,A,36.74817,-111.66667,AZ
NPS,Grand Canyon National Park,SAPIN,1993,Campfire,0.1,A,36.00236,-111.88333,AZ
NPS,Grand Canyon National Park,ACOSTA,1993,Campfire,0.1,A,36.00653,-111.88333,AZ
NPS,Grand Canyon National Park,FORCINE,1993,Campfire,0.1,A,36.00292,-111.88334,AZ
NPS,Grand Canyon National Park,E-3,1993,Campfire,0.1,A,36.03152,-112.06667,AZ
NPS,Grand Canyon National Park,EAST,1993,Campfire,0.1,A,36.03152,-112.06667,AZ
NPS,Grand Canyon National Park,RIM,1993,Campfire,0.1,A,36.03152,-112.06667,AZ
NPS,Grand Canyon National Park,POWER,1993,Campfire,0.1,A,36.04819,-112.2,AZ
NPS,Grand Canyon National Park,E-4,1993,Campfire,0.1,A,35.9982,-112.11667,AZ
NPS,Grand Canyon National Park,WRANGLER,1993,Campfire,0.1,A,36.0482,-112.08334,AZ
NPS,Grand Canyon National Park,CEREMONIAL,1993,Campfire,0.1,A,36.06486,-112.06667,AZ
NPS,Grand Canyon National Park,KARLY,1993,Lightning,0.1,A,36.04264,-112.10194,AZ
NPS,Grand Canyon National Park,FATHER,1993,Lightning,0.3,B,36.04791,-112.06389,AZ
NPS,Grand Canyon National Park,CACTUS,1993,Campfire,0.1,A,36.07319,-112.04445,AZ
NPS,Grand Canyon National Park,ROAMING,1993,Campfire,0.1,A,36.03986,-111.81667,AZ
NPS,Grand Canyon National Park,MIRACLE,1993,Campfire,0.1,A,36.04792,-112.18334,AZ
NPS,Grand Canyon National Park,PICKLEHEAD,1993,Campfire,0.1,A,36.01486,-112.18333,AZ
NPS,Grand Canyon National Park,PUNKINHEAD,1993,Campfire,0.1,A,36.03153,-112.15,AZ
NPS,Grand Canyon National Park,MATHER,1993,Campfire,0.1,A,36.04263,-112.11389,AZ
NPS,Grand Canyon National Park,JUNIPER120,1993,Campfire,0.1,A,36.04153,-112.11166,AZ
NPS,Grand Canyon National Park,JUNIPER181,1993,Campfire,0.1,A,36.04153,-112.11166,AZ
NPS,Grand Canyon National Park,OAK207,1993,Campfire,0.1,A,36.04443,-112.11267,AZ
NPS,Grand Canyon National Park,PINE268,1993,Campfire,0.1,A,36.04152,-112.11111,AZ
NPS,Grand Canyon National Park,GRAVEL,1993,Campfire,0.1,A,36.04819,-112.18334,AZ
NPS,Grand Canyon National Park,CLINIC-2,1993,Campfire,0.1,A,36.0593,-112.2,AZ
NPS,Grand Canyon National Park,CLINIC-1,1993,Campfire,0.1,A,36.04819,-112.2,AZ
NPS,Grand Canyon National Park,JUNIPER138,1993,Campfire,0.1,A,36.04152,-112.12834,AZ
NPS,Grand Canyon National Park,ROAD,1993,Campfire,7.0,B,36.0,-112.2174,AZ
NPS,Grand Canyon National Park,ENTRANCE,1993,Campfire,0.1,A,35.99653,-112.12834,AZ
NPS,Grand Canyon National Park,SALTSHAKER,1993,Campfire,0.1,A,35.99653,-112.12834,AZ
NPS,Grand Canyon National Park,WASH,1993,Campfire,0.1,A,35.99653,-112.12834,AZ
NPS,Grand Canyon National Park,LOOP,1993,Campfire,0.1,A,35.99653,-112.12834,AZ
NPS,Grand Canyon National Park,DRIVEUP,1993,Campfire,0.1,A,36.03153,-112.08333,AZ
NPS,Grand Canyon National Park,PICNICRING,1993,Campfire,0.1,A,36.0482,-112.08334,AZ
NPS,Grand Canyon National Park,JUNIPER125,1993,Campfire,0.1,A,36.03153,-112.1,AZ
NPS,Grand Canyon National Park,HEARST,1993,Campfire,0.1,A,35.98152,-111.98334,AZ
NPS,Grand Canyon National Park,WHEREAREU,1993,Smoking,0.1,A,36.06486,-112.1,AZ
NPS,Grand Canyon National Park,WIDFORSS,1993,Campfire,0.1,A,36.19818,-112.1,AZ
NPS,Grand Canyon National Park,BASIN,1993,Campfire,0.2,A,36.28152,-112.08334,AZ
NPS,Grand Canyon National Park,BOOT,1993,Smoking,0.1,A,36.06986,-112.11166,AZ
NPS,Grand Canyon National Park,LUAU,1993,Campfire,0.1,A,36.05486,-112.075,AZ
NPS,Grand Canyon National Park,WRANGLER2,1993,Campfire,0.1,A,36.05486,-112.075,AZ
NPS,Grand Canyon National Park,IMAX,1993,Campfire,0.2,A,35.95,-112.1174,AZ
NPS,Grand Canyon National Park,WOODROW,1993,Lightning,0.1,A,36.02652,-112.165,AZ
NPS,Grand Canyon National Park,LINDBERGH,1993,Lightning,0.2,A,36.28485,-112.10001,AZ
NPS,Grand Canyon National Park,SWAMP,1993,Lightning,0.1,A,36.34319,-112.26001,AZ
NPS,Grand Canyon National Park,GUINIVERE,1993,Lightning,0.2,A,36.32985,-112.27833,AZ
NPS,Grand Canyon National Park,MORAN,1993,Lightning,0.1,A,35.99708,-111.91556,AZ
NPS,Grand Canyon National Park,GRANDVIEW,1993,Lightning,0.1,A,35.98319,-111.93333,AZ
NPS,Grand Canyon National Park,KANABOW,1993,Lightning,0.8,B,36.26985,-112.20667,AZ
NPS,Grand Canyon National Park,GREENLAND,1993,Lightning,0.1,A,36.23152,-112.01667,AZ
NPS,Grand Canyon National Park,SPRING,1993,Lightning,0.7,B,36.32985,-112.225,AZ
NPS,Grand Canyon National Park,SHIP,1993,Lightning,0.1,A,35.9832,-111.96833,AZ
NPS,Grand Canyon National Park,MARIA,1993,Lightning,0.1,A,36.05486,-112.2,AZ
NPS,Grand Canyon National Park,MILKCREEK,1993,Lightning,0.1,A,36.26485,-112.11667,AZ
NPS,Grand Canyon National Park,MEADOW,1993,Campfire,0.1,A,36.19985,-112.095,AZ
NPS,Grand Canyon National Park,ATOKO,1993,Lightning,0.2,A,36.19985,-111.95167,AZ
NPS,Grand Canyon National Park,DRIP,1993,Lightning,0.1,A,36.05486,-112.23666,AZ
NPS,Grand Canyon National Park,TUWEEP,1993,Campfire,0.1,A,36.21152,-113.06501,AZ
NPS,Grand Canyon National Park,WILLIS,1993,Campfire,0.1,A,36.22652,-113.065,AZ
NPS,Grand Canyon National Park,MCARTHUR,1993,Campfire,0.1,A,36.21152,-113.06501,AZ
NPS,Grand Canyon National Park,CANNON,1993,Campfire,0.1,A,36.22652,-113.065,AZ
NPS,Grand Canyon National Park,INDIAN,1993,Campfire,0.1,A,36.06986,-112.12833,AZ
NPS,Grand Canyon National Park,GARDEN,1993,Miscellaneous,7.5,B,36.08152,-112.13334,AZ
NPS,Grand Canyon National Park,PORKCHOP,1993,Lightning,0.1,A,36.29985,-112.18833,AZ
NPS,Grand Canyon National Park,BOUNDARY,1993,Lightning,0.1,A,36.34319,-112.22639,AZ
NPS,Grand Canyon National Park,NORTHWEST3,1993,Debris Burning,1000.0,F,36.33152,-112.25,AZ
NPS,Grand Canyon National Park,WOOD,1994,Campfire,0.1,A,36.01152,-111.96833,AZ
NPS,Grand Canyon National Park,MCCARY,1994,Campfire,0.1,A,36.01152,-111.96833,AZ
NPS,Grand Canyon National Park,CASHMAN,1994,Campfire,0.1,A,36.7315,-111.66667,AZ
NPS,Grand Canyon National Park,GHOST,1994,Miscellaneous,0.1,A,35.7833,-114.4675,AZ
NPS,Grand Canyon National Park,FRIEBEN,1994,Campfire,0.1,A,36.04153,-112.11166,AZ
NPS,Grand Canyon National Park,PUB,1994,Structure,0.1,A,36.05486,-112.14667,AZ
NPS,Grand Canyon National Park,SMITH,1994,Campfire,0.1,A,35.8117,-111.6507,AZ
NPS,Grand Canyon National Park,ZENOBI,1994,Campfire,0.1,A,35.99708,-112.04,AZ
NPS,Grand Canyon National Park,MCMILLAN,1994,Campfire,0.1,A,36.80818,-111.65,AZ
NPS,Grand Canyon National Park,ORTON,1994,Campfire,0.1,A,36.76484,-111.66834,AZ
NPS,Grand Canyon National Park,RING,1994,Campfire,0.1,A,36.02652,-112.18334,AZ
NPS,Grand Canyon National Park,COLLINS,1994,Campfire,0.1,A,36.09819,-112.095,AZ
NPS,Grand Canyon National Park,PULLEY,1994,Campfire,0.1,A,36.09819,-112.09333,AZ
NPS,Grand Canyon National Park,JESSOP,1994,Campfire,0.1,A,36.77984,-111.65,AZ
NPS,Grand Canyon National Park,SILVA,1994,Campfire,0.1,A,36.04819,-112.11666,AZ
NPS,Grand Canyon National Park,PRICE,1994,Campfire,0.1,A,36.03153,-112.18333,AZ
NPS,Grand Canyon National Park,BA TRAIL,1994,Campfire,0.1,A,36.06485,-112.13333,AZ
NPS,Grand Canyon National Park,MATHER 22,1994,Campfire,0.1,A,36.03152,-112.13333,AZ
NPS,Grand Canyon National Park,TANK,1994,Miscellaneous,0.2,A,36.03153,-112.14167,AZ
NPS,Grand Canyon National Park,KLAPARDA,1994,Campfire,0.1,A,36.0482,-112.08334,AZ
NPS,Grand Canyon National Park,OPS,1994,Lightning,0.1,A,36.04819,-112.15,AZ
NPS,Grand Canyon National Park,DEER CREEK,1994,Debris Burning,0.1,A,36.38985,-112.50416,AZ
NPS,Grand Canyon National Park,TANK #2,1994,Miscellaneous,0.1,A,36.04819,-112.11666,AZ
NPS,Grand Canyon National Park,PEARRE,1994,Debris Burning,0.2,A,36.39819,-112.51667,AZ
NPS,Grand Canyon National Park,ROWSER,1994,Miscellaneous,0.1,A,36.04819,-112.11666,AZ
NPS,Grand Canyon National Park,TANK #3,1994,Miscellaneous,0.1,A,36.04819,-112.11666,AZ
NPS,Grand Canyon National Park,HEWITT,1994,Campfire,0.1,A,35.96486,-111.96666,AZ
NPS,Grand Canyon National Park,KEATING,1994,Campfire,0.1,A,36.8333,-111.6674,AZ
NPS,Grand Canyon National Park,ROWSER #2,1994,Miscellaneous,0.1,A,36.04819,-112.11666,AZ
NPS,Grand Canyon National Park,TRAILER,1994,Miscellaneous,0.2,A,36.04819,-112.125,AZ
NPS,Grand Canyon National Park,YAVAPAI,1994,Miscellaneous,0.2,A,36.04819,-112.11666,AZ
NPS,Grand Canyon National Park,ROWSER #3,1994,Miscellaneous,0.1,A,36.04819,-112.13334,AZ
NPS,Grand Canyon National Park,NINTH,1994,Miscellaneous,0.1,A,36.04819,-112.11666,AZ
NPS,Grand Canyon National Park,BUNKHOUSE,1994,Smoking,0.1,A,36.09819,-112.09167,AZ
NPS,Grand Canyon National Park,DEER,1994,Debris Burning,95.0,C,36.4179,-112.5,AZ
NPS,Grand Canyon National Park,PAYA,1994,Campfire,0.1,A,36.03153,-112.15,AZ
NPS,Grand Canyon National Park,LIGHT,1994,Campfire,0.1,A,36.09819,-112.1,AZ
NPS,Grand Canyon National Park,ELEPHANT,1994,Lightning,0.1,A,36.33152,-112.16666,AZ
NPS,Grand Canyon National Park,SWEETWATER,1994,Lightning,0.2,A,36.04819,-112.18334,AZ
NPS,Grand Canyon National Park,HERMIT,1994,Lightning,0.1,A,36.04819,-112.21667,AZ
NPS,Grand Canyon National Park,ENTRANCE,1994,Lightning,0.6,B,36.01486,-112.11667,AZ
NPS,Grand Canyon National Park,GRAVIL PIT,1994,Lightning,3.0,B,36.04819,-112.18334,AZ
NPS,Grand Canyon National Park,EREMITA,1994,Lightning,0.1,A,36.04819,-112.25,AZ
NPS,Grand Canyon National Park,GARAGE,1994,Smoking,0.1,A,36.04819,-112.13334,AZ
NPS,Grand Canyon National Park,YUMA,1994,Lightning,0.1,A,36.11486,-112.36667,AZ
NPS,Grand Canyon National Park,MESCALERO,1994,Lightning,0.1,A,36.16486,-112.48333,AZ
NPS,Grand Canyon National Park,MORAN,1994,Campfire,0.1,A,35.9982,-111.93333,AZ
NPS,Grand Canyon National Park,SIGN,1994,Campfire,0.1,A,35.99819,-112.13333,AZ
NPS,Grand Canyon National Park,SIDE,1994,Campfire,0.1,A,36.04819,-112.2,AZ
NPS,Grand Canyon National Park,POST,1994,Campfire,0.1,A,36.04819,-112.2,AZ
NPS,Grand Canyon National Park,TELE,1994,Campfire,0.1,A,36.04819,-112.2,AZ
NPS,Grand Canyon National Park,PHONE,1994,Campfire,0.1,A,36.04819,-112.2,AZ
NPS,Grand Canyon National Park,RAIL,1994,Campfire,0.1,A,36.04819,-112.2,AZ
NPS,Grand Canyon National Park,TIE,1994,Campfire,0.1,A,36.04819,-112.2,AZ
NPS,Grand Canyon National Park,CHAR,1994,Campfire,0.1,A,36.16485,-112.11667,AZ
NPS,Grand Canyon National Park,SKY,1994,Campfire,0.1,A,36.16485,-112.11667,AZ
NPS,Grand Canyon National Park,ACE,1994,Campfire,0.1,A,36.16485,-112.11667,AZ
NPS,Grand Canyon National Park,PICK,1994,Campfire,0.1,A,36.16485,-112.11667,AZ
NPS,Grand Canyon National Park,ROPE,1994,Campfire,0.1,A,36.16485,-112.11667,AZ
NPS,Grand Canyon National Park,BREW,1994,Campfire,0.1,A,36.16485,-112.11667,AZ
NPS,Grand Canyon National Park,LOT,1994,Campfire,0.1,A,35.99819,-112.13333,AZ
NPS,Grand Canyon National Park,ROWE WELL,1994,Lightning,0.1,A,36.03153,-112.18333,AZ
NPS,Grand Canyon National Park,TIYO POINT,1994,Lightning,0.1,A,36.33152,-112.1,AZ
NPS,Grand Canyon National Park,SADDLE,1994,Lightning,0.1,A,36.21486,-113.05,AZ
NPS,Grand Canyon National Park,VULCAN,1994,Lightning,0.1,A,36.19819,-113.05,AZ
NPS,Grand Canyon National Park,GRANDVIEW,1994,Lightning,1.0,B,35.98152,-111.98334,AZ
